player,season,age,salary,pts,trb,ast,efg_pct,performance_score
Nikola Jokic,2020-21,25,14700000,26.4,10.8,8.3,0.602,27.391
Nikola Jokic,2021-22,26,30510000,27.1,13.8,7.9,0.62,30.256000000000004
Nikola Jokic,2022-23,27,32400000,24.5,11.8,9.8,0.66,30.426
Nikola Jokic,2023-24,28,33800000,26.4,12.4,9,0.612,29.2536
Nikola Jokic,2024-25,29,45600000,29.6,12.7,10.2,0.627,32.9175
Nikola Jokic,2025-26,30,48000000,27.7,12.9,10.7,0.618,31.7034
LeBron James,2014-15,30,20644000,25.3,6,7.4,0.535,20.704500000000003
LeBron James,2009-10,25,15779912,29.7,7.3,8.6,0.545,24.852000000000004
Stephen Curry,2013-14,25,9870000,24,4.3,8.5,0.566,20.828799999999998
Stephen Curry,2014-15,26,10000000,23.8,4.3,7.7,0.594,21.2652
Stephen Curry,2015-16,27,11370000,30.1,5.4,6.7,0.63,26.586000000000002
Stephen Curry,2016-17,28,12110000,25.3,4.5,6.6,0.58,21.112
Stephen Curry,2017-18,29,34682550,26.4,5.1,6.1,0.618,23.236800000000002
Stephen Curry,2018-19,30,37457154,27.3,5.3,5.2,0.604,22.831200000000003
James Harden,2014-15,25,14694000,27.4,5.7,7,0.511,20.4911
James Harden,2015-16,26,15756000,29,6.1,7.5,0.512,21.8112
James Harden,2016-17,27,26540000,29.1,8.1,11.2,0.525,25.410000000000004
James Harden,2017-18,28,28299399,30.4,5.4,8.8,0.541,24.1286
James Harden,2018-19,29,30421000,36.1,6.6,7.5,0.541,27.158200000000004
James Harden,2019-20,30,38199000,34.3,6.6,7.5,0.543,26.281200000000002
Kevin Durant,2013-14,25,17832627,32,7.4,5.5,0.56,25.144000000000002
Kevin Durant,2014-15,26,18999526,25.4,6.6,4.1,0.578,20.8658
Kevin Durant,2015-16,27,20158700,28.2,8.2,5,0.573,23.722199999999997
Kevin Durant,2016-17,28,26540000,25.1,8.3,4.8,0.594,22.6908
Kevin Durant,2017-18,29,25000000,26.4,6.8,5.4,0.586,22.619599999999995
Kevin Durant,2018-19,30,30000000,26,6.4,5.9,0.571,21.869299999999996
