player,season,age,salary,points,rebounds,assists,efg,performance_score
LeBron James,2009-10,25,15779912,29.7,7.3,8.6,0.545,25.39
LeBron James,2010-11,26,14500000,26.7,7.5,7.0,0.541,22.99
LeBron James,2011-12,27,16022500,27.1,7.9,6.2,0.554,22.97
LeBron James,2012-13,28,17545000,26.8,8.0,7.3,0.603,25.07
LeBron James,2013-14,29,19067500,27.1,6.9,6.3,0.61,24.02
LeBron James,2014-15,30,20644400,25.3,6.0,7.4,0.535,20.68
Stephen Curry,2013-14,25,9887642,24.0,4.3,8.5,0.566,20.63
Stephen Curry,2014-15,26,10629213,23.8,4.3,7.7,0.594,21.03
Stephen Curry,2015-16,27,11370786,30.1,5.4,6.7,0.63,27.1
Stephen Curry,2016-17,28,12112359,25.3,4.5,6.6,0.58,21.34
Stephen Curry,2017-18,29,34682550,26.4,5.1,6.1,0.618,23.52
Stephen Curry,2018-19,30,37457154,27.3,5.3,5.2,0.604,22.33
James Harden,2014-15,25,14693906,27.4,5.7,7.0,0.511,20.2
James Harden,2015-16,26,15719062,29.0,6.1,7.5,0.512,22.14
James Harden,2016-17,27,26540100,29.1,8.1,11.2,0.525,25.78
James Harden,2017-18,28,28299399,30.4,5.4,8.8,0.541,24.73
James Harden,2018-19,29,30570000,36.1,6.6,7.5,0.541,27.99
James Harden,2019-20,30,38199000,34.3,6.6,7.5,0.543,26.24
Kevin Durant,2013-14,25,18773176,32.0,7.4,5.5,0.56,25.48
Kevin Durant,2014-15,26,19997513,25.4,6.6,4.1,0.578,20.4
Kevin Durant,2015-16,27,21971850,28.2,8.2,5.0,0.573,23.23
Kevin Durant,2016-17,28,26540100,25.1,8.3,4.8,0.594,22.58
Kevin Durant,2017-18,29,25000000,26.4,6.8,5.4,0.586,22.46
Kevin Durant,2018-19,30,30000000,26.0,6.4,5.9,0.571,21.98
Nikola Jokic,2020-21,25,29542010,26.4,10.8,8.3,0.602,27.07
Nikola Jokic,2021-22,26,31044906,27.1,13.8,7.9,0.62,30.03
Nikola Jokic,2022-23,27,33047803,24.5,11.8,9.8,0.66,30.46
Nikola Jokic,2023-24,28,47607350,26.4,12.4,9.0,0.612,29.01
Nikola Jokic,2024-25,29,51415938,29.6,12.7,10.2,0.627,33.16
Nikola Jokic,2025-26,30,55225000,27.7,12.9,10.7,0.618,31.81
