player,season,age,salary
LeBron James,2009-10,25,15779912
LeBron James,2010-11,26,14500000
LeBron James,2011-12,27,16022500
LeBron James,2012-13,28,17545000
LeBron James,2013-14,29,19066950
LeBron James,2014-15,30,20644000
Stephen Curry,2013-14,25,9870000
Stephen Curry,2014-15,26,10000000
Stephen Curry,2015-16,27,11370000
Stephen Curry,2016-17,28,12110000
Stephen Curry,2017-18,29,34682550
Stephen Curry,2018-19,30,37457154
James Harden,2014-15,25,14694000
James Harden,2015-16,26,15756000
James Harden,2016-17,27,26540000
James Harden,2017-18,28,28299399
James Harden,2018-19,29,30421000
James Harden,2019-20,30,38199000
Kevin Durant,2013-14,25,17832627
Kevin Durant,2014-15,26,18999526
Kevin Durant,2015-16,27,20158700
Kevin Durant,2016-17,28,26540000
Kevin Durant,2017-18,29,25000000
Kevin Durant,2018-19,30,30000000
Nikola Jokic,2020-21,25,14700000
Nikola Jokic,2021-22,26,30510000
Nikola Jokic,2022-23,27,32400000
Nikola Jokic,2023-24,28,33800000
Nikola Jokic,2024-25,29,45600000
Nikola Jokic,2025-26,30,48000000
